,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
188,4,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Cyber Security,Abroad"
189,3.43,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,0,1,Salary,Networking
190,3.96,3,3,2,3,3,3,3,2,2,3,3,2,2,2,1,1,3,1,3,1,5,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Data Analysis,ML/AI Engineer,Teaching,Researcher,Abroad"
191,3.67,2,2,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,0,0,flaxible Work Life Balanced,Software Development
192,3.3,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,Salary,Software Development
193,3.43,2,2,1,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,0,5,Salary,Software Development
194,3.49,1,3,1,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,0,5,flaxible Work Life Balanced,"Software Development,Cyber Security,Business"
195,2.83,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,"Job Security,Job Environment,flaxible Work Life Balanced","Cyber Security,Business,Abroad"
196,2.98,2,2,2,2,3,2,2,1,2,1,2,1,1,1,1,2,2,0,2,1,1,"Job Security,Job Environment","Software Development,Cyber Security,Data Analysis,Management"
197,3.2,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,"Social Acceptance,Job Security","Software Development,Networking,Cyber Security,Data Analysis"
198,3.16,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,"Social Acceptance,Job Security","Software Development,Cyber Security,Data Analysis"
199,2.92,2,2,2,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,Social Acceptance,Software Development
200,3.22,3,2,2,1,2,2,2,1,2,2,1,2,3,1,1,2,2,1,1,3,1,flaxible Work Life Balanced,Abroad
201,1.6,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Job Security,ML/AI Engineer
202,3.41,2,3,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,"Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer"
203,3.5,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,2,"Salary,flaxible Work Life Balanced","Software Development,Abroad"
204,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,Salary,Software Development
205,3.4,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,3,"Salary,flaxible Work Life Balanced","Software Development,Data Analysis"
206,3.17,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,0,1,1,1,1,Social Acceptance,"Bank Job,Govt Job"
207,3.58,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,0,6,"Job Security,Job Environment,Salary,flaxible Work Life Balanced",Software Development
208,3.79,1,1,3,2,2,2,3,1,2,1,1,1,2,1,1,1,1,1,1,0,0,Salary,Researcher
209,3.52,2,2,2,1,2,2,1,1,3,3,2,2,2,1,1,1,1,1,1,0,1,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Teaching"
210,3.59,2,2,2,1,2,2,2,2,2,2,1,1,2,1,0,2,0,0,0,0,0,"Job Environment,Salary,flaxible Work Life Balanced","Database Administration,Teaching,Abroad"
211,3.6,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,0,0,Salary,Business
212,3.6,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,0,0,0,2,Social Acceptance,"Software Development,Data Analysis,ML/AI Engineer,Abroad"
213,3.47,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,3,Job Security,Software Development
214,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,Salary,"Business,Abroad"
215,3.2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,4,Job Environment,Software Development
216,3.64,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,0,0,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security,Researcher"
217,3.7,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,0,3,Social Acceptance,Abroad
